"index","initial_index","last_index","model","numMax","numMin","maxPositions","minPositions","angles_max","angles_min"
"1",4000,4202,"SNHT",2,1,"46, 160","114","169.294048842801, 164.572123033606","175.964527426914"
"2",4000,4202,"Pettitt",1,1,"153","50","10.9390911831921","14.2259638987518"
"3",4000,4202,"BuishandR",4,3,"52, 56, 146, 150","51, 57, 148","168.418611950305, 175.495105264335, 170.780773867375, 173.13052871938","171.017591225046, 177.392093033294, 177.392093033294"
"4",4000,4202,"BuishandU",4,3,"52, 56, 146, 150","51, 57, 148","168.418611950305, 175.495105264335, 170.780773867375, 173.13052871938","171.017591225046, 177.392093033294, 177.392093033294"
"5",4000,4202,"Lanzante",1,1,"153","50","10.9390911831921","14.2259638987518"
"1",8300,8502,"SNHT",1,0,"110","","27.8633763764601","NA"
"2",8300,8502,"Pettitt",1,1,"9","110","45","0.805907652085779"
"3",8300,8502,"BuishandR",0,1,"","110","NA","89.1602907051098"
"4",8300,8502,"BuishandU",0,1,"","110","NA","89.1602907051098"
"5",8300,8502,"Lanzante",1,1,"9","110","45","0.805907652085779"
"1",9500,9702,"SNHT",1,0,"119","","29.9155242081411","NA"
"2",9500,9702,"Pettitt",0,1,"","101","NA","40.6012946450045"
"3",9500,9702,"BuishandR",0,1,"","119","NA","95.2860441639131"
"4",9500,9702,"BuishandU",0,1,"","119","NA","95.2860441639131"
"5",9500,9702,"Lanzante",0,1,"","101","NA","40.6012946450045"
"1",10800,11002,"SNHT",1,0,"29","","14.0727453552456","NA"
"2",10800,11002,"Pettitt",0,1,"","29","NA","2.25857416663979"
"3",10800,11002,"BuishandR",0,1,"","29","NA","89.6938268056181"
"4",10800,11002,"BuishandU",0,1,"","29","NA","89.6938268056181"
"5",10800,11002,"Lanzante",0,1,"","29","NA","2.25857416663979"
"1",11900,12102,"SNHT",1,0,"138","","24.4653693663103","NA"
"2",11900,12102,"Pettitt",1,1,"35","138","56.3099324740202","0.698819696902689"
"3",11900,12102,"BuishandR",0,1,"","138","NA","88.4138585076814"
"4",11900,12102,"BuishandU",0,1,"","138","NA","88.4138585076814"
"5",11900,12102,"Lanzante",1,1,"35","138","56.3099324740202","0.698819696902689"
"1",14000,14202,"SNHT",2,1,"79, 103","81","169.494509325196, 166.15405825587","150.900052967028"
"2",14000,14202,"Pettitt",1,0,"102","","53.130102354156","NA"
"3",14000,14202,"BuishandR",1,0,"103","","175.526016592149","NA"
"4",14000,14202,"BuishandU",1,0,"103","","175.526016592149","NA"
"5",14000,14202,"Lanzante",1,0,"102","","53.130102354156","NA"
"1",16000,16202,"SNHT",1,0,"185","","9.59025085266356","NA"
"2",16000,16202,"Pettitt",1,0,"185","","3.50723101070864","NA"
"3",16000,16202,"BuishandR",1,0,"185","","90.125053198609","NA"
"4",16000,16202,"BuishandU",1,0,"185","","90.125053198609","NA"
"5",16000,16202,"Lanzante",1,0,"185","","3.50723101070864","NA"
